# coverage_map.tsv -- generated by walkthrough/kit/build_coverage_map.py
# DO NOT HAND-EDIT. Regenerate with: python3 walkthrough/kit/build_coverage_map.py > walkthrough/kit/coverage_map.tsv
# One row per plugin_EML_StatsGraphs/REGISTRY.tsv row (43 as of the 2026-09-01 compile). numerically_covered=yes means the name is one of the 17 procedures walkthrough/kit/matrix.tsv actually runs and compare.R diffs against an R oracle.
registry_name	kind	numerically_covered	covering_kit_cells	reason_if_not_covered
emlRunTwoGroupAnalysis	analysis	yes	c0001;c0002;c0003;c0004;c0005;c0006;c0007;c0008;c0009;c0010;c0011;c0012;c0013;c0014;c0015;c0016;c0017;c0018;c0019;c0020;c0021;c0022;c0023;c0024;c0025;c0026;c0027;c0028;c0029;c0030;c0031;c0032;c0033;c0034	
emlRunAnovaAnalysis	analysis	yes	c0035;c0036;c0037;c0038;c0039;c0040;c0041;c0042;c0043;c0044;c0045;c0046;c0047;c0048;c0049;c0050;c0051;c0052;c0053;c0054;c0055;c0056;c0057;c0058;c0059;c0060;c0061;c0062;c0063;c0064;c0065;c0066;c0067;c0068;c0069;c0070;c0071;c0072;c0073;c0074;c0631;c0633;c0635;c0637;c0639;c0641;c0643;c0645;c0647;c0649;c0651;c0653;c0655;c0657;c0659;c0661;c0663;c0664;c0665;c0666;c0667;c0668;c0669;c0670;c0671;c0672;c0673	
emlRunKruskalWallisAnalysis	analysis	yes	c0076;c0077;c0078;c0079;c0080;c0081;c0082;c0083;c0084;c0085;c0086;c0087;c0088;c0089;c0090;c0091;c0092;c0093;c0094;c0095;c0096;c0097;c0098;c0099;c0100;c0101;c0102;c0103;c0104;c0105;c0106;c0107;c0108;c0109;c0110;c0111;c0112;c0113;c0114;c0115;c0116;c0117;c0118;c0119;c0120;c0121;c0122;c0123;c0124;c0125;c0126;c0127;c0128;c0129;c0130;c0131;c0132;c0133;c0134;c0135;c0136;c0137;c0138;c0139;c0140;c0141;c0142;c0143;c0144;c0145;c0146;c0147;c0148;c0149;c0150;c0151;c0152;c0153;c0154;c0155;c0632;c0634;c0636;c0638;c0640;c0642;c0644;c0646;c0648;c0650;c0652;c0654;c0656;c0658;c0660;c0662	
emlRunPairwiseAnalysis	analysis	yes	c0157;c0158;c0159;c0160;c0161;c0162;c0163;c0164;c0165;c0166;c0167;c0168;c0169;c0170;c0171;c0172;c0173;c0174;c0175;c0176;c0177;c0178;c0179;c0180;c0181;c0182;c0183;c0184;c0185;c0186;c0187;c0188;c0189;c0190;c0191;c0192;c0193;c0194;c0195;c0196;c0197;c0198;c0199;c0200;c0201;c0202;c0203;c0204;c0205;c0206;c0207;c0208;c0209;c0210;c0211;c0212;c0213;c0214;c0215;c0216;c0217;c0218;c0219;c0220;c0221;c0222;c0223;c0224;c0225;c0226;c0227;c0228;c0229;c0230;c0231;c0232;c0233;c0234;c0235;c0236;c0237;c0238;c0239;c0240;c0241;c0242;c0243;c0244;c0245;c0246;c0247;c0248;c0249;c0250;c0251;c0252;c0253;c0254;c0255;c0256;c0257;c0258;c0259;c0260;c0261;c0262;c0263;c0264;c0265;c0266;c0267;c0268;c0269;c0270;c0271;c0272;c0273;c0274;c0275;c0276;c0277;c0278;c0279;c0280;c0281;c0282;c0283;c0284;c0285;c0286;c0287;c0288;c0289;c0290;c0291;c0292;c0293;c0294;c0295;c0296;c0297;c0298;c0299;c0300;c0301;c0302;c0303;c0304;c0305;c0306;c0307;c0308;c0309;c0310;c0311;c0312;c0313;c0314;c0315;c0316;c0317;c0318;c0319;c0320;c0321;c0322;c0323;c0324;c0325;c0326;c0327;c0328;c0329;c0330;c0331;c0332;c0333;c0334;c0335;c0336;c0337;c0338;c0339;c0340;c0341;c0342;c0343;c0344;c0345;c0346;c0347;c0348;c0349;c0350;c0351;c0352;c0353;c0354;c0355;c0356	
emlRunTwoWayAnalysis	analysis	yes	c0357;c0358;c0359;c0674;c0675	
emlRunPairedAnalysis	analysis	yes	c0360;c0361;c0362;c0363;c0364;c0365;c0366;c0367;c0368;c0369;c0370;c0371;c0372;c0373;c0374;c0375;c0376;c0377;c0378;c0379;c0380;c0381;c0382;c0383;c0384	
emlRunCorrelationAnalysis	analysis	yes	c0385;c0386;c0387;c0388;c0389;c0390;c0391;c0392;c0393;c0394;c0395;c0396;c0397;c0398;c0399;c0400;c0401;c0402;c0403;c0404;c0405;c0406;c0407;c0408;c0409;c0410;c0411;c0412;c0413;c0414;c0415;c0416;c0417;c0418;c0419	
emlRunDescriptiveAnalysis	analysis	yes	c0420;c0421;c0422;c0423;c0424;c0425;c0426;c0427;c0428;c0429;c0430;c0431;c0432;c0433;c0434;c0435;c0436;c0437;c0438;c0439;c0440;c0441;c0442;c0443;c0444;c0445;c0446;c0447;c0448;c0449;c0450;c0451;c0452;c0453;c0454;c0455;c0456;c0457;c0458;c0460;c0461	
emlRunRegressionAnalysis	analysis	yes	c0504;c0505;c0506;c0507;c0508;c0509;c0510;c0511;c0512;c0513	
emlRunGroupedRegressionAnalysis	analysis	yes	c0514;c0515;c0516;c0517;c0518;c0519	
