"group","response"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","no"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"A","yes"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","no"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
"B","yes"
