subject,voice_type,task,SPL_dB
Soprano_1,Soprano,Speech,93.3007513037104
Soprano_2,Soprano,Speech,88.891244803177
Soprano_3,Soprano,Speech,90.7986506798319
Soprano_4,Soprano,Speech,91.3799925934356
Soprano_5,Soprano,Speech,90.6259500350217
Soprano_6,Soprano,Singing,99.5245767193925
Soprano_7,Soprano,Singing,98.0436084205632
Soprano_8,Soprano,Singing,102.23205280553
Soprano_9,Soprano,Singing,99.7528647163057
Soprano_10,Soprano,Singing,100.708375246193
Soprano_11,Soprano,Singing,98.9503985965624
Soprano_12,Soprano,Singing,99.4653508930507
Soprano_13,Soprano,Singing,101.731087770343
Soprano_14,Soprano,Singing,102.817179588057
Alto_1,Alto,Speech,83.9576695400721
Alto_2,Alto,Speech,82.1601342830566
Alto_3,Alto,Speech,84.1097620322083
Alto_4,Alto,Speech,80.2769662615277
Alto_5,Alto,Speech,85.3130774043806
Alto_6,Alto,Speech,82.9145781921525
Alto_7,Alto,Singing,92.4335493515368
Alto_8,Alto,Singing,90.5365263265275
Tenor_1,Tenor,Speech,77.7347686497799
Tenor_2,Tenor,Speech,77.6990499429612
Tenor_3,Tenor,Speech,77.8146952511095
Tenor_4,Tenor,Singing,96.3560908646947
Tenor_5,Tenor,Singing,92.7683500280371
Tenor_6,Tenor,Singing,98.2138556663743
Tenor_7,Tenor,Singing,92.1398449375335
Tenor_8,Tenor,Singing,96.0907115516362
Tenor_9,Tenor,Singing,92.3877754909352
Tenor_10,Tenor,Singing,93.1553598010798
