subject,voice_type,task,SPL_dB
Soprano_1,Soprano,Speech,89.00757741267682
Soprano_2,Soprano,Speech,92.37270504362468
Soprano_3,Soprano,Speech,90.26787168036529
Soprano_4,Soprano,Speech,87.65523492899314
Soprano_5,Soprano,Speech,88.00786060867864
Soprano_6,Soprano,Speech,92.45236545760602
Soprano_7,Soprano,Speech,89.09121074809045
Soprano_8,Soprano,Speech,89.52546043643295
Soprano_9,Soprano,Speech,87.26997515764104
Soprano_10,Soprano,Speech,92.66657695059736
Soprano_11,Soprano,Speech,90.6428514614316
Soprano_12,Soprano,Speech,90.25578212261325
Soprano_1,Soprano,Singing,100.54567608338827
Soprano_2,Soprano,Singing,100.71312261932773
Soprano_3,Soprano,Singing,97.87384648126769
Soprano_4,Soprano,Singing,101.39691237509332
Soprano_5,Soprano,Singing,102.81131007217533
Soprano_6,Soprano,Singing,99.13560926386218
Soprano_7,Soprano,Singing,99.60694136495782
Soprano_8,Soprano,Singing,97.90147451422861
Soprano_9,Soprano,Singing,102.8224807676696
Soprano_10,Soprano,Singing,106.53339123537664
Soprano_11,Soprano,Singing,98.38591086569713
Soprano_12,Soprano,Singing,99.31009580668966
Alto_1,Alto,Speech,83.48098185967184
Alto_2,Alto,Speech,84.8026462440186
Alto_3,Alto,Speech,84.10909481556624
Alto_4,Alto,Speech,84.1781183456615
Alto_5,Alto,Speech,88.98685316927933
Alto_6,Alto,Speech,86.28391919730907
Alto_7,Alto,Speech,88.21761538096764
Alto_8,Alto,Speech,81.18715700132796
Alto_9,Alto,Speech,80.67468992409745
Alto_10,Alto,Speech,83.00355068082968
Alto_11,Alto,Speech,89.60107172923733
Alto_12,Alto,Speech,84.5142984762454
Alto_1,Alto,Singing,98.47269535990603
Alto_2,Alto,Singing,93.16431733666394
Alto_3,Alto,Singing,97.005651958807
Alto_4,Alto,Singing,91.88522636964768
Alto_5,Alto,Singing,91.07763427056993
Alto_6,Alto,Singing,91.12777458021638
Alto_7,Alto,Singing,92.61522268438395
Alto_8,Alto,Singing,93.8511561298525
Alto_9,Alto,Singing,92.58348008162174
Alto_10,Alto,Singing,92.15629490436102
Alto_11,Alto,Singing,93.26909248209957
Alto_12,Alto,Singing,92.97260456292491
