subject,voice_type,task,SPL_dB
Soprano_1,Soprano,Speech,89.10835998846382
Soprano_2,Soprano,Speech,91.80325552952536
Soprano_3,Soprano,Speech,90.26407699202981
Soprano_4,Soprano,Speech,92.04045946340830
Soprano_5,Soprano,Singing,94.12687736509264
Soprano_6,Soprano,Singing,105.72390845569440
Soprano_7,Soprano,Singing,103.06689110514087
Soprano_8,Soprano,Singing,105.13093327983127
Soprano_9,Soprano,Singing,101.15806912299470
Soprano_10,Soprano,Singing,100.74362196962630
Soprano_11,Soprano,Singing,101.12328833154166
Soprano_12,Soprano,Singing,100.32209226764070
Soprano_13,Soprano,Singing,98.63644426336533
Alto_1,Alto,Speech,90.77197819678577
Alto_2,Alto,Speech,90.38396870595683
Alto_3,Alto,Speech,85.17862050971098
Alto_4,Alto,Speech,82.12006821754116
Alto_5,Alto,Speech,84.04724112823081
Alto_6,Alto,Speech,81.22067317934157
Alto_7,Alto,Singing,91.41110133675799
Alto_8,Alto,Singing,93.78120365445713
