id,group,x,y
P1,1,137.470923785153,363.811232085512
P2,1,153.672866484442,313.180310872614
P3,1,133.287427751799,267.181264635279
P4,2,130.761331681602,244.118891822526
P5,2,144.149485542431,311.566402711552
P6,2,155.175764324825,296.330664934437
P7,2,126.957362281697,238.799782373737
P8,2,153.915656525728,294.558044684705
P9,2,150.602478892033,305.489606594194
P10,2,151.708354632245,305.726045818486
P11,2,172.332204254305,334.833794512555
P12,3,161.086538784404,256.256241135957
P13,3,144.394561200942,318.47483632907
P14,3,185.503267391204,245.560618697592
P15,3,153.746402433469,225.758913827241
P16,3,172.850522929513,282.405783633466
P17,3,158.310522669856,292.242123977037
P18,3,174.590131118581,355.857260545524
P19,3,154.733593444819,304.02652982876
P20,3,142.692344534959,295.422447598077
P21,3,172.102885445006,328.089009197038
P22,4,120.388648101613,319.18701896736
P23,4,181.543389431173,256.180665309916
P24,4,130.865110418315,322.43496679934
P25,4,131.599895048827,305.665188430052
P26,4,110.047158061373,389.895160332994
P27,4,144.554079115015,317.351265284219
P28,4,143.693025770644,323.31167159205
P29,4,137.434895269649,309.212675702939
P30,4,147.870722302558,309.369465422689
P31,4,158.560296044047,345.352727724105
P32,4,134.445608357051,350.684054071554
P33,4,124.122354047728,327.5887401255
