speaker,speaking_F0_Hz,singing_F0_Hz,age_years
Spk1,194.23097550135162,412.91627216910206,34
Spk2,219.7235701570219,460.86008029796517,39
Spk3,112.67983336997487,279.67165383468057,53
Spk4,230.6302008892441,469.29182613727113,24
Spk5,109.40552298205832,202.4984510369425,51
Spk6,206.31841055640197,460.77902890384433,59
Spk7,80,207.0607276047309,28
Spk8,134.78806689026698,281.4751933648539,26
Spk9,80,192.92610581806076,50
Spk10,191.03181219888583,416.23788627320437,43
Spk11,129.512313659538,241.0257635374178,50
Spk12,121.22867774789722,229.61799535493753,49
Spk13,105.23908865588326,232.52717534431304,30
Spk14,164.1946098586701,383.1643560996203,52
Spk15,126.20514159606535,258.65319210921183,62
Spk16,257.27054684740216,511.9177950148535,55
Spk17,155.39204086088617,339.25655509326464,39
Spk18,201.8947252458974,458.71286458107716,56
Spk19,148.60046936299395,345.4485859917538,32
Spk20,164.57678747689602,311.64829749661374,25
Spk21,119.2283645594373,271.5626629237277,26
Spk22,176.55994652499174,366.7198980463204,23
Spk23,119.48598215877297,288.2769927100432,36
Spk24,188.73567774078683,410.89133456087245,58
Spk25,144.765786841763,301.7201625170982,50
Spk26,161.43799756651967,337.7481459567909,31
Spk27,128.83400716925317,267.66759683139475,60
Spk28,148.9522929697356,289.0376742064964,24
Spk29,114.45188197861768,256.6518339165268,57
Spk30,127.0729575131382,268.31707322841663,65
