subject,group,SPL_dB
A_1,A,59.6739635094846
A_2,A,60.5524618554191
A_3,A,59.3250561560442
A_4,A,60.2143594590434
A_5,A,60.3107692173136
A_6,A,61.1739662875627
A_7,A,60.618789855626
A_8,A,59.8872656852458
B_1,B,64.7510848685381
B_2,B,61.3302219061182
B_3,B,63.5793442966209
B_4,B,59.6154666937548
B_5,B,66.2832666340491
B_6,B,57.5995409175096
B_7,B,61.2899498641913
B_8,B,61.4199861050075
B_9,B,59.4507357789984
B_10,B,62.1753964935485
B_11,B,59.5469889323721
B_12,B,55.8490765530811
C_1,C,60.0174660043515
C_2,C,65.2511326249383
C_3,C,59.3921167229103
C_4,C,52.2164694407739
C_5,C,65.4666149372519
C_6,C,52.5376589139688
C_7,C,63.8024056360915
C_8,C,60.2840793538345
C_9,C,63.8034337705931
C_10,C,63.9888133866155
C_11,C,66.3696232032424
C_12,C,62.6749119784825
C_13,C,67.0471945018854
C_14,C,48.5613610565573
C_15,C,68.1391203026971
D_1,D,58.7562578163003
D_2,D,67.6798377234888
D_3,D,75.2033515858084
D_4,D,49.2839518797708
D_5,D,70.4846906961431
D_6,D,70.8245880985877
D_7,D,73.58213782399
D_8,D,42.8067263103251
D_9,D,61.4049521980385
D_10,D,54.9461633302073
D_11,D,70.029282734063
D_12,D,71.6893491784405
D_13,D,58.9391671757039
D_14,D,63.0990937418443
D_15,D,51.1612192839444
D_16,D,54.4974471873863
D_17,D,63.2552883818354
D_18,D,71.7790100286117
D_19,D,52.0309735342297
D_20,D,73.4905771616478
