subject,group,SPL_dB
A_1,A,57.7364314694566
A_2,A,59.1190129812135
A_3,A,59.3271996913888
A_4,A,58.3059019166519
A_5,A,59.7079451237211
A_6,A,57.1389013372682
A_7,A,58.4467989637929
A_8,A,56.1333747876471
A_9,A,60.6260919104787
A_10,A,60.9373042022046
B_1,B,60.7231198604394
B_2,B,63.3597649317731
B_3,B,59.4482340518614
B_4,B,60.7859883989588
B_5,B,64.3393409464094
B_6,B,60.4835543753121
B_7,B,64.9490456833822
B_8,B,59.8773976030038
B_9,B,62.9147341397157
B_10,B,63.8901718503754
C_1,C,61.1788938789248
C_2,C,62.2619043262532
C_3,C,62.307074848503
C_4,C,61.9998560202719
C_5,C,61.2180859418101
C_6,C,61.0051233841793
C_7,C,61.6544926821792
C_8,C,61.3367002208777
C_9,C,59.1778500934725
C_10,C,65.9924663365869
D_1,D,65.5353768654914
D_2,D,63.8874321065278
D_3,D,60.428506347288
D_4,D,59.1774662968599
D_5,D,61.2821625450211
D_6,D,62.9918252476323
D_7,D,60.2825730059947
D_8,D,63.0248983214834
D_9,D,58.5004874865857
D_10,D,60.5208812033607
