analysis	quantity	plugin_value	r_value	relative_difference
c0001	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0001	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0001	df	31.789784909512843	31.789784909512836	2.24e-16
c0001	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0001	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0001	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0001	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0001	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0001	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0001	n	40	40	0.00e+00
c0001	n_group1	20	20	0.00e+00
c0001	n_group2	20	20	0.00e+00
c0001	p	0.13288837133543796	0.13288837133543871	5.64e-15
c0001	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0001	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0001	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0002	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0002	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0002	df	31.789784909512843	31.789784909512836	2.24e-16
c0002	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0002	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0002	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0002	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0002	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0002	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0002	n	40	40	0.00e+00
c0002	n_group1	20	20	0.00e+00
c0002	n_group2	20	20	0.00e+00
c0002	p	0.13288837133543796	0.13288837133543871	5.64e-15
c0002	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0002	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0002	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0003	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0003	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0003	df	38	38	0.00e+00
c0003	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0003	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0003	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0003	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0003	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0003	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0003	n	40	40	0.00e+00
c0003	n_group1	20	20	0.00e+00
c0003	n_group2	20	20	0.00e+00
c0003	p	0.13127893707327898	0.1312789370732792	1.69e-15
c0003	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0003	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0003	t	-1.542338321783756	-1.5423383217837565	2.88e-16
c0004	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0004	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0004	df	38	38	0.00e+00
c0004	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0004	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0004	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0004	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0004	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0004	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0004	n	40	40	0.00e+00
c0004	n_group1	20	20	0.00e+00
c0004	n_group2	20	20	0.00e+00
c0004	p	0.13127893707327898	0.1312789370732792	1.69e-15
c0004	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0004	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0004	t	-1.542338321783756	-1.5423383217837565	2.88e-16
c0005	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0005	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0005	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0005	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0005	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0005	n	40	40	0.00e+00
c0005	n_group1	20	20	0.00e+00
c0005	n_group2	20	20	0.00e+00
c0005	p	0.0964995524361003	0.096499552436100297	0.00e+00
c0005	p_method	exact	exact	
c0005	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0005	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0005	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0005	u1	138	138	0.00e+00
c0005	u2	262	262	0.00e+00
c0006	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0006	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0006	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0006	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0006	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0006	n	40	40	0.00e+00
c0006	n_group1	20	20	0.00e+00
c0006	n_group2	20	20	0.00e+00
c0006	p	0.0964995524361003	0.096499552436100297	0.00e+00
c0006	p_method	exact	exact	
c0006	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0006	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0006	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0006	u1	138	138	0.00e+00
c0006	u2	262	262	0.00e+00
c0007	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0007	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0007	df	31.789784909512843	31.789784909512836	2.24e-16
c0007	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0007	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0007	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0007	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0007	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0007	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0007	mw_p	0.0964995524361003	0.096499552436100297	0.00e+00
c0007	n	40	40	0.00e+00
c0007	n_group1	20	20	0.00e+00
c0007	n_group2	20	20	0.00e+00
c0007	p	0.13288837133543796	0.13288837133543871	5.64e-15
c0007	p_method	exact	exact	
c0007	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0007	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0007	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0007	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0007	u1	138	138	0.00e+00
c0007	u2	262	262	0.00e+00
c0008	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0008	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0008	df	31.789784909512843	31.789784909512836	2.24e-16
c0008	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0008	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0008	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0008	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0008	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0008	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0008	mw_p	0.0964995524361003	0.096499552436100297	0.00e+00
c0008	n	40	40	0.00e+00
c0008	n_group1	20	20	0.00e+00
c0008	n_group2	20	20	0.00e+00
c0008	p	0.13288837133543796	0.13288837133543871	5.64e-15
c0008	p_method	exact	exact	
c0008	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0008	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0008	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0008	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0008	u1	138	138	0.00e+00
c0008	u2	262	262	0.00e+00
c0009	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0009	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0009	df	24.668456862621873	24.66845686262187	1.44e-16
c0009	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0009	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0009	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0009	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0009	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0009	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0009	n	40	40	0.00e+00
c0009	n_group1	20	20	0.00e+00
c0009	n_group2	20	20	0.00e+00
c0009	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0009	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0009	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0009	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0010	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0010	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0010	df	24.668456862621873	24.66845686262187	1.44e-16
c0010	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0010	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0010	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0010	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0010	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0010	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0010	n	40	40	0.00e+00
c0010	n_group1	20	20	0.00e+00
c0010	n_group2	20	20	0.00e+00
c0010	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0010	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0010	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0010	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0011	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0011	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0011	df	38	38	0.00e+00
c0011	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0011	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0011	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0011	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0011	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
