analysis	quantity	plugin_value	r_value	relative_difference	reason	study
c0061	posthoc_control__patient_padj	7.200010299079906e-08	7.2000089001988954e-08	1.94e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0062	posthoc_control__patient_padj	7.200010299079906e-08	7.2000089001988954e-08	1.94e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0069	posthoc_paired__corr_padj	7.046332406446254e-10	7.0462591317266288e-10	1.04e-05	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0069	posthoc_paired__mwu_padj	8.608098789331109e-09	8.6080916839037513e-09	8.25e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0069	posthoc_paired__perfect_padj	5.671796365902537e-12	5.6645799162424737e-12	1.27e-03	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0069	posthoc_welch__mwu_padj	4.467722315215639e-06	4.4677223082212336e-06	1.57e-09	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0069	posthoc_welch__perfect_padj	2.7871114083311e-08	2.7871106977883642e-08	2.55e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0070	posthoc_corr__paired_padj	7.046332406446254e-10	7.0462591317266288e-10	1.04e-05	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0070	posthoc_mwu__paired_padj	8.608098789331109e-09	8.6080916839037513e-09	8.25e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0070	posthoc_mwu__welch_padj	4.467722315215639e-06	4.4677223082212336e-06	1.57e-09	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
