fn	arg1	arg2	arg3	value
gaussQ	0.5			0.3085375387259869
gaussQ	0.7			0.24196365222307298
gaussQ	0.9			0.18406012534675945
gaussQ	1.1			0.13566606094638262
gaussQ	1.3			0.0968004845856103
gaussQ	1.5			0.06680720126885803
gaussQ	1.7000000000000002			0.04456546275854299
gaussQ	1.9000000000000001			0.028716559816001786
gaussQ	2.1			0.017864420562816546
gaussQ	2.3			0.01072411002167581
gaussQ	2.5			0.006209665325776133
gaussQ	2.7			0.003466973803040664
gaussQ	2.9000000000000004			0.0018658133003840345
gaussQ	3.1			0.0009676032132183565
gaussQ	3.3000000000000003			0.00048342414238377647
gaussQ	3.5			0.00023262907903552502
gaussQ	3.7			0.0001077997334773883
gaussQ	3.9000000000000004			4.809634401760261e-05
gaussQ	4.1			2.065750691254671e-05
gaussQ	4.300000000000001			8.539905470991765e-06
gaussQ	4.5			3.3976731247300547e-06
gaussQ	4.7			1.300807453917277e-06
gaussQ	4.9			4.791832765903185e-07
gaussQ	5.1000000000000005			1.6982674071475947e-07
gaussQ	5.300000000000001			5.790134039964557e-08
gaussQ	5.5			1.8989562465887675e-08
gaussQ	5.7			5.99037140106353e-09
gaussQ	5.9			1.8175078630994239e-09
gaussQ	6.1000000000000005			5.303423262948806e-10
gaussQ	6.300000000000001			1.4882282217622971e-10
gaussQ	6.5			4.016000583859087e-11
gaussQ	6.7			1.0420976987965157e-11
gaussQ	6.9			2.6001269656381726e-12
gaussQ	7.1000000000000005			6.237844463331518e-13
gaussQ	7.300000000000001			1.438838638157576e-13
gaussQ	7.5			3.1908916729108844e-14
gaussQ	7.7			6.8033115407738996e-15
gaussQ	7.9			1.3945171466592606e-15
gaussQ	8.100000000000001			2.7479593923981817e-16
gaussQ	8.3			5.2055697448902453e-17
gaussQ	8.5			9.47953482220325e-18
gaussQ	8.700000000000001			1.6594208699647519e-18
gaussQ	8.9			2.7923343749396242e-19
gaussQ	9.1			4.5165914914354036e-20
gaussQ	9.3			7.02228424044154e-21
studentQ	0.5	45		0.3097557097319227
studentQ	0.9	45		0.18645574764716405
studentQ	1.3	45		0.10011028656227128
studentQ	1.7000000000000002	45		0.04801695583037579
studentQ	2.1	45		0.020683136889607066
studentQ	2.5	45		0.00806597762723468
studentQ	2.9000000000000004	45		0.002876425218439979
studentQ	3.3000000000000003	45		0.0009484413721749822
studentQ	3.7	45		0.0002924881643626146
studentQ	4.1	45		8.532318403082528e-05
studentQ	4.5	45		2.3800142929329528e-05
studentQ	4.9	45		6.412061019688923e-06
studentQ	5.300000000000001	45		1.6837036999516594e-06
studentQ	5.7	45		4.34401067707237e-07
studentQ	6.1000000000000005	45		1.1090242420537767e-07
